choiceId,parentDialogId,choiceText,nextDialogId,conditionType,conditionValue,resultType,resultValue,pauseAfterResult
choice_hire_yes,dlg_hire_001,고용하기,dlg_hire_002,None,0,OpenHiring,0,true
choice_hire_no,dlg_hire_001,다음에 할게요,dlg_hire_cancel_001,None,0,None,0,false
choice_mkt_check,dlg_mkt_001,결과 확인하기,dlg_mkt_result_001,None,0,None,0,false
choice_mkt_skip,dlg_mkt_001,나중에 볼게요,dlg_mkt_skip_001,None,0,None,0,false
choice_proj_good,dlg_proj_001,만족스러워!,dlg_proj_good_001,None,0,None,0,false
choice_proj_bad,dlg_proj_001,아쉬웠어...,dlg_proj_bad_001,None,0,None,0,false
choice_proj_meh,dlg_proj_001,그냥 그랬어,dlg_proj_meh_001,None,0,None,0,false
choice_proj_analyze,dlg_proj_bad_001,분석해줘,dlg_proj_analyze_001,None,0,None,0,false
choice_proj_pass,dlg_proj_bad_001,괜찮아,dlg_proj_pass_001,None,0,None,0,false
choice_sal_raise,dlg_sal_proposal_01,연봉 {raiseAmount}G 올려주기,,None,0,SalaryAccept,0,false
choice_sal_freeze,dlg_sal_proposal_01,연봉 동결 제안하기,,None,0,SalaryFreeze,0,false
choice_patrol_bonus,dlg_patrol_002,열심히 하고 있는거 잘알고있어요!(보너스를 준다),dlg_patrol_bonus_001,None,0,GoldChange,-1000,false
choice_patrol_sad,dlg_patrol_002,그래요? 잘 모르겠네요...,dlg_patrol_sad_001,None,0,SatisfactionChange,-10,false
