dialogId,dialogGroupId,order,speakerType,speakerId,speakerName,speakerPortraitId,dialogText,textSpeed,hasChoice,nextDialogId,portraitEmotion,shakeEffect,bgmChangeId,sfxId,autoAdvance,autoDelay,skippable
dlg_gs_001,event_game_start,1,NPC,npc_secretary,비서,portrait_secretary,사장님! 드디어 우리 게임 회사가 문을 열었습니다!,Normal,false,dlg_gs_002,happy,false,,sfx_notify,false,0,true
dlg_gs_002,event_game_start,2,NPC,npc_secretary,비서,portrait_secretary,먼저 직원을 고용해서 팀을 꾸려보세요. 좋은 인재가 회사의 미래를 결정합니다!,Normal,false,dlg_gs_003,default,false,,,false,0,true
dlg_gs_003,event_game_start,3,System,,,,지금 바로 고용 버튼을 눌러보세요.,Normal,false,,default,false,,,true,2,true
dlg_hire_001,event_first_hire,1,NPC,npc_secretary,비서,portrait_secretary,직원 고용에는 500G가 필요합니다. 고용하시겠습니까?,Normal,true,,default,false,,sfx_question,false,0,false
dlg_hire_002,event_first_hire,2,NPC,npc_secretary,비서,portrait_secretary,환영합니다! 새 직원이 팀에 합류했어요. 함께 멋진 게임을 만들어봐요!,Normal,false,dlg_hire_003,happy,false,,sfx_hire,false,0,true
dlg_hire_003,event_first_hire,3,NPC,npc_secretary,비서,portrait_secretary,고용을 완료했습니다. 직원 목록에서 확인해보세요.,Normal,false,,default,false,,,false,0,true
dlg_hire_cancel_001,event_first_hire_cancel,1,NPC,npc_secretary,비서,portrait_secretary,알겠습니다. 언제든지 고용 버튼을 눌러 직원을 뽑을 수 있어요.,Normal,false,,default,false,,,false,0,true
dlg_mkt_001,event_marketing_done,1,NPC,npc_secretary,비서,portrait_secretary,마케팅이 완료됐습니다! 결과를 확인하시겠어요?,Normal,true,,happy,false,,sfx_notify,false,0,false
dlg_mkt_result_001,event_marketing_done,2,NPC,npc_secretary,비서,portrait_secretary,팬이 500명 증가했습니다! 우리 회사가 조금씩 알려지고 있어요.,Normal,false,dlg_mkt_result_002,happy,false,,,false,0,true
dlg_mkt_result_002,event_marketing_done,3,NPC,npc_secretary,비서,portrait_secretary,마케팅을 꾸준히 이어가면 더 큰 효과를 볼 수 있을 거예요.,Normal,false,,default,false,,,false,0,true
dlg_mkt_skip_001,event_marketing_skip,1,NPC,npc_secretary,비서,portrait_secretary,알겠습니다. 결과는 나중에 보고드릴게요.,Normal,false,,default,false,,,false,0,true
dlg_proj_001,event_project_complete,1,NPC,npc_secretary,비서,portrait_secretary,"프로젝트가 드디어 완료됐습니다! 사장님, 어떠셨나요?",Normal,true,,happy,false,,sfx_complete,false,0,false
dlg_proj_good_001,event_project_good,1,NPC,npc_secretary,비서,portrait_secretary,훌륭한 결과입니다! 팀원들의 사기도 크게 올랐어요.,Normal,false,dlg_proj_good_002,happy,false,,sfx_success,false,0,true
dlg_proj_good_002,event_project_good,2,NPC,npc_secretary,비서,portrait_secretary,이 기세를 몰아 다음 프로젝트도 준비해봐요!,Normal,false,,happy,false,,,false,0,true
