itemId,appearStages,category,name,grade,price,effect,description,effectType,effectValue,imageId
enhanceLow,"1,2",강화,하급 강화권,1,100,,강화에 실패해도 하락하지 않는다\n(1~10성 사이 일때 사용 가능),,0,item_enhanceLow
enhanceMid,"2,3",강화,중급 강화권,1,150,,강화에 실패하면 등급이 하락하는\n대신 강화확률이 20% 상승한다,,0,item_enhanceMid
enhanceMidPlus,"3,4",강화,중급 강화권+,1,150,,강화에 실패하면 등급이 하락하는\n대신 강화확률이 30% 상승한다,,0,item_enhanceMidPlus
enhanceHigh,4,강화,상급 강화권,1,150,,강화에 실패하면 등급이 하락하는\n대신 강화확률이 40% 상승한다,,0,item_enhanceHigh
resetSpirit,"1,2,3,4",강화,초심 회복기,1,200,,강화를 단계를 하락시키는 대신\n해당 직원 만족도를 100으로 회복한다,,0,item_resetSpirit
upgradeRandom,"2,3,4",게임,랜덤 업그레이드,2,150,기존 팀장 점수 로직의 1/4가 적용,랜덤한 직원이 게임성 업그레이드를 시도한다\n(게임 하나에 한 번만 사용 가능),,0,item_upgradeRandom
upgradeDevelop,"3,4",게임,개발 업그레이드권,2,150,기존 팀장 점수 로직의 1/4가 적용,개발 직군 직원이 게임성 업그레이드를 시도한다\n(게임 하나에 한 번만 사용 가능),,0,item_upgradeDevelop
upgradeArt,"3,4",게임,아트 업그레이드권,2,150,기존 팀장 점수 로직의 1/4가 적용,아트 직군 직원이 게임성 업그레이드를 시도한다\n(게임 하나에 한 번만 사용 가능),,0,item_upgradeArt
upgradePlan,"3,4",게임,기획 업그레이드권,2,150,기존 팀장 점수 로직의 1/4가 적용,기획 직군 직원이 게임성 업그레이드를 시도한다\n(게임 하나에 한 번만 사용 가능),,0,item_upgradePlan
coffee,"1,2,3,4",만족도,커피,3,50,,만족도 15 회복,satisfaction,15,item_coffee
energyDrink,"1,2,3,4",만족도,에너지드링크,3,80,,만족도 25 회복,satisfaction,25,item_energyDrink
relax,"1,2,3,4",능력치,라꾸라꾸,3,100,"능력치 감소 상태 회복, 디버프 상태가 아니면 사용 불가능",모든 안 좋은 디버프 상태를 회복,,0,item_relax
awaken,"1,2,3,4",능력치,각성의 물약,3,100,4~8주간 랜덤 / 현재 버프된 능력치는 빼고 오리지널 능력치의 10% 적용,잠시동안 능력치 10% 상승,,0,item_awaken
techNote,"3,4",테크트리 포인트,오래된 연구노트,4,300,,테크트리 포인트 1 획득,,0,item_techNote
blockRandom,"1,2,3,4",창의성 블록,랜덤 블록,4,150,3칸 2칸 전부 랜덤,1회성으로 언제든지 사용가능\n랜덤한 창의성 블록 생성,,0,item_blockRandom
blockLegendary,"3,4",창의성 블록,전설의 블록,4,300,아예 정사각형 한 칸짜리,1회성으로 언제든지 사용가능\n1칸짜리 창의성 블록 생성,,0,item_blockLegendary
hypnotizer,"1,2,3,4",이벤트 대비,최면술사의 시계,4,500,"직원 사직서 제출시 사용 가능, 아이템이 있으면 사용하기를 누르면 퇴직 취소 되고 만족도 +20",직원이 사직서 제출을 취소하고\n만족도가 일부 상승한다,,0,item_hypnotizer
