eventType,title,description,systemMessage,weight,categoryMin,categoryMax,portraitId,requiresPatrol,requiredPatrolPointId
CompetitorGame,대형 게임사의 경쟁작 출시,TODO,,1,4,4,,false,
TangsuYukFight,탕수육 부먹 찍먹 싸움,TODO,,1,4,4,,false,
AvoidingEmployee,나를 피하는 직원,TODO,,1,1,4,,false,
Cold,감기,TODO,,1,1,4,,false,
BadReview,이유 없는 별점 1점,TODO,,1,1,4,,false,
Birthday,생일,TODO,,1,1,4,,false,
EarlyLeaveRequest,퇴근 요청,TODO,,1,1,4,,false,
EquipmentUpgrade,장비 업그레이드 요청,TODO,,1,1,4,,false,
GameUpgradeRequest,게임 업그레이드 요청,TODO,,1,1,4,,false,
CompanyDinner,오늘은 회식이다!,TODO,,1,1,4,,false,
BossGossip,사장님 뒷담까기,TODO,,1,1,4,,false,
NetworkIssue,네트워크 끊김,사장님 제가 넘어지면서 실수로 코드를 뽑아버렸습니다...,개발 기간 {0}주 지연,1.3,1,3,,true,master_desk
HackyCode,야매코드,TODO,,1,2,4,,false,
YoutuberRequest,유튜버 선공개 요청,TODO,,1,3,4,,false,
EmployeeFight,직원 불화 발생!,"직원 두 명이 크게 싸웠습니다!
누구의 편을 들겠습니까?",,1,0,0,,false,
BadCompany,악명 높은 기업!,"잦은 해고로 악명이 높아졌습니다!
채용 조건이 불리해집니다.",,1,0,0,,false,
