eventType,title,description1,description2,description3,systemMessage,portraitId,requiresPatrol,requiredPatrolPointId
BadRumor,안좋은 소문,회사에서 나간 직원들이 사장님에 대한 안 좋은 소문을 내서\n지원자들의 경쟁률이 계속 줄고 있어요!,,,안 좋은 소문으로 인해 지원 인원이 감소하고 있습니다\n채용 지원 인원 1명 감소,portrait_secretary,false,
EmployeeResignation,사직서 제출,안녕히 계세요 여러분\n전 이 세상의 모든 굴레와 속박을 벗어 던지고\n제 행복을 찾아 떠납니다.,건강상의 사유로 그만두겠습니다.\n진단명은... 사장님 알레르기!,야근 도저히 못해먹겠네\n난 퇴사할껍니다!,{이름}이(가) 사직서를 제출하고 퇴사했습니다.\n남은 직원들의 만족도가 10 하락합니다.,,false,
EmployeeRun,,책상 위에 놓인 사원증이 반으로 쪼개져 있습니다.,프로필 상태가 '구직 중'으로 바뀌었습니다.,"책상 위에 포스트잇 한 장이 붙어 있습니다.\n'회사 탈출은 지능순'",{해당직원이름}이 도망쳤습니다!\n남은 팀원들의 만족도가 10 하락합니다.,,false,
AnxietyInducing,불안감 조성,사장님 이번에는 제가 나갈 차롄가요…? 너무 많이 잘리니까 잘릴까봐 불안해서 일을 못하겠어요!,,,직원이 불안에 떨고 있습니다\n만족도 -5 / {직원이름} 능력치 -20%,,false,
CompanyBadReview,회사 평점 1점,이전에 만족도가 낮아서 퇴사한 직원이 회사에 욕설이 가득한 리뷰를 남겨서 평판이 안좋아졌네요…,,,최악의 리뷰로 인해 지원자들의 발길이 끊깁니다..,portrait_secretary,false,
OfficeRomance,사내 연애,사장님 저 {상대이름}과 사귀기로 했습니다! 만세!,{상대이름}님이랑 오늘부터 1일이에요 축하해주세요!,,"{이름1}, {이름2} 만족도 +10, 능력치 +10%",,true,master_desk
RomanceBrokeUp,사내 연애의 결말…,사장님… 최대한 마주칠일 없게 부탁드립니다… 헤어졌어요,,,"{이름1}, {이름2} 만족도 -20",,false,
CoupleResignation,혼자선 못 살아요,우린 원래 1+1이에요! 저도 같이 퇴사할껍니다!,,,{이름}도 같이 퇴사합니다,,false,
LeaderBurnout,팀장 멈춰!,저 지금 팀장 {n}번 연속 하고 있어요…\n저 이제 그만 좀 시켜주세요…,저희 팀은 왜 맨날 저만 일하나요…\n저 말고 다른 사람 시켜주세요...,,{직원이름} 능력치가 20% 하락합니다,,false,
LeaderJealousy,나도 팀장...,뭐 이번에도 팀장은 아니네요. 이제는 기대도 안 하고 그냥 시키는 일이나 하다가 조용히 퇴근하렵니다.,,,{직원이름} 만족도 -20,,false,
VoluntaryOvertime,자발적 야근,이렇게 좋은 회사는 살면서 처음이네요! 목숨을 바쳐서 일하겠습니다,이대로는 잠이 안올 것 같아요 전 오늘 야근하겠습니다,,{직원이름}이 자발적으로 야근합니다. 만족도 하락 없이 야근 모드가 활성화됩니다,,false,
