employeeId,employeeName,role,isDefault,developMin,developMax,planningMin,planningMax,artMin,artMax,perfectionMin,perfectionMax,salaryMin,salaryMax,maxGrade,portraitId
emp_01,김기획,0,1,10,20,20,50,10,20,10,20,2500,5000,1,portrait_emp_01
emp_05,정기획,0,0,10,20,20,50,10,20,10,20,2500,5000,1,portrait_emp_01
emp_08,윤기획,0,0,10,20,20,50,10,20,10,20,2500,5000,0,portrait_emp_02
emp_02,이코딩,1,1,20,50,10,20,10,20,10,20,2500,5000,3,portrait_emp_01
emp_04,최사운,1,0,20,50,10,20,10,20,10,20,2500,5000,0,portrait_emp_01
emp_06,한개발,1,0,20,50,10,20,10,20,10,20,2500,5000,2,portrait_emp_02
emp_09,장개발,1,0,20,50,10,20,10,20,10,20,2500,5000,1,portrait_emp_02
emp_03,박아트,2,1,10,20,10,20,20,50,10,20,2500,5000,0,portrait_emp_01
emp_07,오아트,2,0,10,20,10,20,20,50,10,20,2500,5000,3,portrait_emp_02
emp_10,강아트,2,0,10,20,10,20,20,50,10,20,2500,5000,2,portrait_emp_02
