,< 도전 과제 >,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,게임 개발 시작시 등장 / 기획 팀장 선택 전에 등장하고 끄면 바로 기획 팀장 선택 뜨게,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,모든 능력치는 버프 없이 원본을 기준. 버프가 되면 그 상태는 달성하기 쉽게 만드는 수단으로 사용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"팀장 점수의 95존, 99존, 총 점수 이렇게 총 3가지 목표가 존재. 전부 같은 확률로 목표 제시하는 형태",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"보상은 기획, 개발, 아트 3가지 중 하나에 대한 점수와 만족도가 제시된다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. 팀장 점수 목표 제시,,,,,,,,,,,,,,2. 총 점수 목표 제시,,,,,,,,,,,,3. 목표 달성 보상 제시,,,,,,,,,,,,,,,,,,통계,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"목표 = K(팀장 주스탯) × P(잠재력) × BASE_REF[단계] × c[성수구간, 티어] × (1 + f_target/100)",,,,,,,,,,,,,,1. 상수,,,,,,,,,,,,세 종류(팀장 95 / 파트 총점 / 팀장 99)의 보상을 하나의 공식으로 통일한 명세. 목표 산출 로직은 별도 문서 참조.,,,,,,,,,,,,,,,,,,9. 세 종류 비교,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  K(s) = 0.8738 + 0.026409 × s^0.9081,,,,개발 단계와 같음,,,,,,,,,,1-1. 함수,,,,,,,,,,,,1. 공식,,,,,,,,,,,,,,,,,,,팀장 95,파트 총점,팀장 99,
,  P    = C 0.962 / B 1.000 / A 1.038 / S 1.068,,,,,,,,,,,,,,K(s)      = 0.8738 + 0.026409 × s^0.9081        // 팀장 능력치 계수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,성격,도박형,계획형,도박형,
,,,,,,,,,,,,,,,K_tick(s) = 1.7266 + 0.054105 × s^0.9076        // 틱 능력치 계수,,,,,,,,,,,,"보상 대상 파트 = randomPick( {P, D, A} − 도전 스탯, 1개 )",,,,,,,,,,,,,,,,,,달성률,44.3 ~ 59.4%,29.4 ~ 39.2%,15.0 ~ 20.6%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"보상률         = Uniform( R_LO[수준], R_HI[수준] ) × OUTGAME_MUL          [%]",,,,,,,,,,,,,,,,,,아깝게 실패,31.6 ~ 40.0%,14.9 ~ 19.8%,29.4 ~ 40.6%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,보상 점수      = μ(보상 대상 파트) × 보상률 / 100,,,,,,,,,,,,,,,,,,버스트율,5.7 ~ 12.6%,7.6 ~ 21.2%,8.0 ~ 12.7%,
,BASE_REF,,,,,,,,,,,,,,1-2. 잠재력 배수 MUL_pot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,조준 레버리지,+21 ~ +34%p,+1 ~ +3%p,+21 ~ +34%p,
,단계,값,,,,,,,,,,,,,,,,,,,,,,,,,μ(파트) = 총점 로직과 동일,,,,,,,,,,,,,,,,,,보상률,3 ~ 5%,6 ~ 10%,12 ~ 20%,
,1단계,13.6,,,,,,,,,,,,,등급,C,B,A,S,,,,,,,,,,,,,,,,,,,,,,,,,,단발 매출,+1.1 ~ +4.2%,+2.2 ~ +8.5%,+4.5 ~ +17.2%,
,2단계,13.8,,,,,,,,,,,,,값,0.962,1,1.038,1.068,,,,,,,,μ(파트) = K(그 파트 팀장 스탯) × MUL_pot(그 팀장 잠재력) × μ_G[CBAND(그 팀장 성수)],,,,,,,,,,,,,,,,,,판당 기여,0.93 ~ 1.25%,1.24 ~ 1.65%,1.28 ~ 1.76%,
,3단계,13.9,,,,,,,,,,,,,,,,,,,,,,,,,          + Σᵢ K_tick(그 파트 직원 i 스탯) × μ_H,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1-4. 팀장 단위 분포 (CBAND별),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Σᵢ = 그 파트 소속 직원 전원 (팀장 포함),,,,,,,,,,,,,,,,,,,,,,
,f_target 범위 (존 보너스 중첩 총액 개발단계와 같음),,,,,,,,,,,,,,CBAND (팀장 성),μ_G,σ_G,,,,,,,,,,파트 총점 도전과제의 목표 산출에서 쓰는 μ와 같은 함수다. partMu(part) 하나를 도전 대상 파트와 보상 대상 파트에 각각 호출한다.,,,,,,,,,,,,,,,,,,,,,,
